"mid","description","score","topicality","img_id"
"/m/019nj4","Smile",0.9749228,0.9749228,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/06hwcd","Dress shirt",0.8986648,0.8986648,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/01rkbr","Tie",0.8944157,0.8944157,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/062581","Sleeve",0.8723948,0.8723948,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/0244x1","Gesture",0.85260487,0.85260487,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/091410","Collar",0.8412379,0.8412379,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/01xyhv","Suit",0.8188492,0.8188492,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/04xz_5","Blazer",0.7827523,0.7827523,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/03120","Flag",0.7797908,0.7797908,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/0317s","Flag of the united states",0.7712807,0.7712807,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/01xr66","Spokesperson",0.7620462,0.7620462,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/035y33","Official",0.74766195,0.74766195,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/02w3_2","Formal wear",0.7396698,0.7396698,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/081pkj","Event",0.73529065,0.73529065,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/02vwbzz","Electric blue",0.7311354,0.7311354,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/04115t2","Job",0.6719763,0.6719763,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/01kq3x","White-collar worker",0.66557306,0.66557306,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/016pp7","Happy",0.6428316,0.6428316,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/01t_7l","Flag Day (USA)",0.62257046,0.62257046,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/01s_bn","Button",0.5460541,0.5460541,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/06j1y6","Caesar cut",0.5418122,0.5418122,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/09s1f","Business",0.52804255,0.52804255,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/01tqrk","Employment",0.51238626,0.51238626,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/025rhd","Pocket",0.50906914,0.50906914,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/012t_z","Businessperson",0.5050325,0.5050325,"mc_images_split/mc_men/Adam_Kinzinger.jpg"
"/m/019nj4","Smile",0.9675723,0.9675723,"mc_images_split/mc_men/Adam_Schiff.jpg"
"/m/06hwcd","Dress shirt",0.8881265,0.8881265,"mc_images_split/mc_men/Adam_Schiff.jpg"
"/m/01rkbr","Tie",0.857819,0.857819,"mc_images_split/mc_men/Adam_Schiff.jpg"
"/m/0244x1","Gesture",0.85260487,0.85260487,"mc_images_split/mc_men/Adam_Schiff.jpg"
"/m/091410","Collar",0.8408811,0.8408811,"mc_images_split/mc_men/Adam_Schiff.jpg"
"/m/062581","Sleeve",0.84010065,0.84010065,"mc_images_split/mc_men/Adam_Schiff.jpg"
"/m/03120","Flag",0.8353195,0.8353195,"mc_images_split/mc_men/Adam_Schiff.jpg"
