"mid","description","score","topicality","img_id"
"/m/0jyfg","Glasses",0.9776462,0.9776462,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/019nj4","Smile",0.95221895,0.95221895,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/0317s","Flag of the united states",0.87423056,0.87423056,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/062581","Sleeve",0.8722819,0.8722819,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/0244x1","Gesture",0.85260487,0.85260487,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/03120","Flag",0.8394967,0.8394967,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/091410","Collar",0.8169775,0.8169775,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/04xz_5","Blazer",0.7826301,0.7826301,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/0j272k5","Eyewear",0.75115997,0.75115997,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/01xr66","Spokesperson",0.75067216,0.75067216,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/01t_7l","Flag Day (USA)",0.74232846,0.74232846,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/081pkj","Event",0.7388731,0.7388731,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/035y33","Official",0.73093605,0.73093605,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/02h66g5","Military person",0.7304765,0.7304765,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/02vwbzz","Electric blue",0.7276152,0.7276152,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/016pp7","Happy",0.711325,0.711325,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/02d46y","Cap",0.70126146,0.70126146,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/01kq3x","White-collar worker",0.69129676,0.69129676,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/02w3_2","Formal wear",0.69084877,0.69084877,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/01xyhv","Suit",0.6714241,0.6714241,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/09jfs","Uniform",0.6507453,0.6507453,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/02dl1y","Hat",0.6289447,0.6289447,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/04115t2","Job",0.60620576,0.60620576,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/012qdp","Military officer",0.59581494,0.59581494,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/0hgs54_","Costume hat",0.5825338,0.5825338,"mc_images_split/mc_woman/Alma_Adams.jpg"
"/m/019nj4","Smile",0.97145146,0.97145146,"mc_images_split/mc_woman/Amata_Coleman_Radewagen.jpg"
"/m/03120","Flag",0.888273,0.888273,"mc_images_split/mc_woman/Amata_Coleman_Radewagen.jpg"
"/m/0244x1","Gesture",0.85260487,0.85260487,"mc_images_split/mc_woman/Amata_Coleman_Radewagen.jpg"
"/g/1tr17zw8","Flash photography",0.8424787,0.8424787,"mc_images_split/mc_woman/Amata_Coleman_Radewagen.jpg"
"/m/0317s","Flag of the united states",0.8172662,0.8172662,"mc_images_split/mc_woman/Amata_Coleman_Radewagen.jpg"
"/m/016pp7","Happy",0.79780245,0.79780245,"mc_images_split/mc_woman/Amata_Coleman_Radewagen.jpg"
"/m/081pkj","Event",0.7274147,0.7274147,"mc_images_split/mc_woman/Amata_Coleman_Radewagen.jpg"
"/m/0404d","Jewellery",0.7083729,0.7083729,"mc_images_split/mc_woman/Amata_Coleman_Radewagen.jpg"
