"wikipedia_id","wiki_img_url","name","age","gender","ethnicity","type","party","state","wiki_img_labels","wiki_img_labelsconf","clothing_apparel","color_adjective","occupation","other","physicaltrait_body","wiki_img_labels_repl","wiki_img_labelsconf_repl","clothing_apparel_repl","color_adjective_repl","occupation_repl","other_repl","physicaltrait_body_repl"
"Adam_Kinzinger","mc_images/Adam_Kinzinger.jpg","Adam Kinzinger",40,"Male","white","Representative","Republican","IL","blue, official, suit, outerwear, businessperson, necktie, spokesperson, formal_wear, smile, white_collar_worker, gentleman","0.9682272672653198, 0.8897901177406311, 0.8713352084159851, 0.7863430380821228, 0.7750266194343567, 0.7594543695449829, 0.7383570075035095, 0.6326544284820557, 0.610045313835144, 0.5920135378837585, 0.5413356423377991",4,2,4,0,1,"Smile, Dress_shirt, Tie, Sleeve, Gesture, Collar, Suit, Blazer, Flag, Flag_of_the_united_states, Spokesperson, Official, Formal_wear, Event, Electric_blue, Job, White-collar_worker, Happy, Flag_Day_(USA), Button, Caesar_cut, Business, Employment, Pocket, Businessperson","0.9749228, 0.8986648, 0.8944157, 0.8723948, 0.85260487, 0.8412379, 0.8188492, 0.7827523, 0.7797908, 0.7712807, 0.7620462, 0.74766195, 0.7396698, 0.73529065, 0.7311354, 0.6719763, 0.66557306, 0.6428316, 0.62257046, 0.5460541, 0.5418122, 0.52804255, 0.51238626, 0.50906914, 0.5050325",9,2,7,4,3
"Adam_Schiff","mc_images/Adam_Schiff.jpg","Adam Schiff",58,"Male","white","Representative","Democrat","CA","official, suit, spokesperson, businessperson, public_speaking, speech, speaker, business, necktie","0.8897871971130371, 0.8454990386962891, 0.8403944969177246, 0.7985374927520752, 0.7184802889823914, 0.6883698105812073, 0.6788513660430908, 0.6615700125694275, 0.6608082056045532",2,0,6,1,0,"Smile, Dress_shirt, Tie, Gesture, Collar, Sleeve, Flag, Flag_of_the_united_states, Blazer, Suit, Spokesperson, Event, Formal_wear, Official, Throat, Flag_Day_(USA), White-collar_worker, Pleased, Electric_blue, Job, Government_agency, Happy, Businessperson, Business","0.9675723, 0.8881265, 0.857819, 0.85260487, 0.8408811, 0.84010065, 0.8353195, 0.8277431, 0.782646, 0.7734762, 0.73991454, 0.727086, 0.71433663, 0.7107111, 0.68602777, 0.68090904, 0.65539694, 0.6508079, 0.62708426, 0.6024436, 0.5428402, 0.52737236, 0.5149749, 0.50502163",7,3,7,4,3
"Adam_Smith_(politician)","mc_images/Adam_Smith_(politician).jpg","Adam Smith",53,"Male","white","Representative","Democrat","WA","person, official, suit, businessperson, elder, speaker, spokesperson, necktie, senior_citizen, gentleman","0.9277355074882507, 0.8931712508201599, 0.8403630256652832, 0.7851937413215637, 0.7822512984275818, 0.6749527454376221, 0.6436539888381958, 0.6404777765274048, 0.607286810874939, 0.5247382521629333",2,1,4,1,2,"Forehead, Smile, Dress_shirt, Gesture, Flag, Tie, Collar, Suit, Blazer, Official, Event, Military_person, Formal_wear, Throat, Flag_of_the_united_states, Wrinkle, White-collar_worker, Happy, Government_agency, Curtain, Military_officer, Military_rank, Businessperson","0.9846564, 0.98043793, 0.89169, 0.85260487, 0.8491675, 0.8466176, 0.83926463, 0.7950753, 0.7825394, 0.75858736, 0.737888, 0.7217096, 0.71686137, 0.69940645, 0.69846976, 0.69561726, 0.68844265, 0.63867784, 0.63581777, 0.54562306, 0.53943866, 0.5245426, 0.50464255",7,1,7,4,4
"Adrian_Smith_(politician)","mc_images/Adrian_Smith_(politician).jpg","Adrian Smith",48,"Male","white","Representative","Republican","NE","person, chin, forehead, official, elder, spokesperson, senior_citizen, cheek, businessperson, smile, portrait, ear, jaw","0.9522355794906616, 0.910994291305542, 0.8947943449020386, 0.8528969287872314, 0.7971848845481873, 0.7667261362075806, 0.7541304230690002, 0.7416011095046997, 0.7311872243881226, 0.6840438842773438, 0.59139084815979, 0.5794295072555542, 0.5004944205284119",0,0,3,2,8,"Forehead, Nose, Face, Chin, Smile, Hairstyle, Eyebrow, Eye, Organ, Dress_shirt, Gesture, Collar, Tie, Blazer, Spokesperson, Wrinkle, White-collar_worker, Suit, Formal_wear, Official, Throat, Event, Caesar_cut, Pleased, Happy","0.9846564, 0.98358303, 0.9825126, 0.9680683, 0.9644334, 0.9509009, 0.9466965, 0.9372971, 0.90337217, 0.89756507, 0.8520008, 0.84058774, 0.81563365, 0.7817737, 0.76947254, 0.7620923, 0.75600547, 0.75289696, 0.7398065, 0.7389111, 0.69937545, 0.6753897, 0.65619725, 0.6541429, 0.60218793",7,2,4,1,11
"Adriano_Espaillat","mc_images/Adriano_Espaillat.jpg","Adriano Espaillat",64,"Male","hispanic","Representative","Democrat","NY","person, official, suit, businessperson, speech, spokesperson, speaker, public_speaking, necktie, formal_wear","0.9331671595573425, 0.8897411823272705, 0.8312129378318787, 0.7873214483261108, 0.7694872617721558, 0.7461832761764526, 0.5816497206687927, 0.5424443483352661, 0.5414265990257263, 0.5246126055717468",3,0,5,2,0,"Forehead, Smile, Dress_shirt, Gesture, Collar, Tie, Flag, Flag_of_the_united_states, Suit, Blazer, Spokesperson, Sleeve, Official, Event, Formal_wear, Happy, Electric_blue, Flag_Day_(USA), White-collar_worker, Government_agency, Job, Business, Button, Caesar_cut, Businessperson","0.9846564, 0.9693716, 0.8911546, 0.85260487, 0.8411361, 0.83143264, 0.83133936, 0.81406415, 0.8030703, 0.78265566, 0.76807064, 0.7570703, 0.7410372, 0.73832077, 0.7343152, 0.70297116, 0.6746342, 0.667297, 0.63876486, 0.61474025, 0.58338976, 0.56025994, 0.54068893, 0.518792, 0.50472635",8,2,7,4,4
"Al_Franken","mc_images/Al_Franken.jpg","Alan Franken",67,"Male","white","Senator","Democrat","MN","suit, official, businessperson, white_collar_worker, gentleman, formal_wear, outerwear, spokesperson, business, tuxedo, necktie, elder","0.9399245381355286, 0.8682825565338135, 0.8003644943237305, 0.7855395078659058, 0.7655646800994873, 0.733996570110321, 0.7264789938926697, 0.6915957927703857, 0.6874925494194031, 0.6047187447547913, 0.5833455920219421, 0.5633405447006226",5,1,5,0,1,"Forehead, Glasses, Smile, Chin, Dress_shirt, Tie, Coat, Sleeve, Gesture, Suit, Collar, Blazer, Formal_wear, Happy, White-collar_worker, Official, Spokesperson, Electric_blue, Event, Wrinkle, Eyewear, Business, Portrait_photography, Laugh, Portrait","0.9846564, 0.9820018, 0.97004807, 0.9658333, 0.90391403, 0.89142627, 0.88944185, 0.87229794, 0.85260487, 0.84801763, 0.8409049, 0.78277844, 0.7629078, 0.761879, 0.7523188, 0.742468, 0.7139406, 0.6889852, 0.6883307, 0.68209684, 0.5910769, 0.5676914, 0.5521192, 0.5447251, 0.54196215",11,2,4,2,6
"Al_Green_(politician)","mc_images/Al_Green_(politician).jpg","Al Green",71,"Male","african_american","Representative","Democrat","TX","suit, formal_wear, necktie, gentleman, tuxedo, official, outerwear, speaker, blazer, businessperson, speech","0.9823616147041321, 0.8909255266189575, 0.859656810760498, 0.803360641002655, 0.7919063568115234, 0.7601244449615479, 0.7072741985321045, 0.6584593057632446, 0.6233725547790527, 0.5941140055656433, 0.5382187366485596",6,1,3,1,0,"Suit_trousers, Shelf, Tie, Organ, Bookcase, Dress_shirt, Flag, Coat, Flag_of_the_united_states, Collar, Suit, Shelving, Blazer, Formal_wear, Official, White-collar_worker, Event, Publication, Flag_Day_(USA), Government, Job, Varnish, Tuxedo, Pocket, Businessperson","0.95188105, 0.91314197, 0.9045044, 0.90308, 0.9028434, 0.9007357, 0.8810595, 0.87078285, 0.8427159, 0.8365413, 0.8182714, 0.785665, 0.78276277, 0.7657923, 0.75146896, 0.7352742, 0.7327995, 0.68204534, 0.61808586, 0.5698466, 0.5602676, 0.5548341, 0.54360664, 0.521411, 0.5142793",10,0,6,9,0
"Al_Lawson","mc_images/Al_Lawson.jpg","Al Lawson",70,"Male","african_american","Representative","Democrat","FL","official, businessperson, suit, elder, speaker, necktie, spokesperson, speech","0.8877003788948059, 0.760193943977356, 0.7390605807304382, 0.723869800567627, 0.6841657161712646, 0.5779427289962769, 0.5231351256370544, 0.5195571184158325",2,0,4,1,1,"Forehead, Smile, Tie, Dress_shirt, Coat, Gesture, Collar, Spokesperson, Suit, Flag, Blazer, Flag_of_the_united_states, Official, Event, Formal_wear, White-collar_worker, Job, Happy, Speech, Flag_Day_(USA), Public_speaking, Microphone, Orator, Businessperson","0.9846564, 0.97505707, 0.9036516, 0.887329, 0.8554826, 0.85260487, 0.83297145, 0.82894254, 0.8222419, 0.7836682, 0.7827277, 0.7694045, 0.74490714, 0.7353251, 0.7343219, 0.7148406, 0.67021847, 0.65254956, 0.65024734, 0.60899895, 0.5665425, 0.556536, 0.5563065, 0.52785367",7,1,7,6,3
"Alan_Lowenthal","mc_images/Alan_Lowenthal.jpg","Alan Lowenthal",77,"Male","white","Representative","Democrat","CA","senior_citizen, official, spokesperson, businessperson, vision_care, elder, glasses, speech, speaker, smile","0.8959953188896179, 0.888628363609314, 0.7883320450782776, 0.7464326620101929, 0.7259249687194824, 0.6893988847732544, 0.676982581615448, 0.6665891408920288, 0.5784400701522827, 0.5606000423431396",2,0,4,1,3,"Glasses, Smile, Vision_care, Tie, Gesture, Flag, Happy, Eyewear, Flag_of_the_united_states, Collar, Blazer, Suit, Official, Event, Spokesperson, Wrinkle, Dress_shirt, White-collar_worker, Formal_wear, Flag_Day_(USA), Job, Electric_blue, Portrait_photography, Businessperson, Business","0.9836118, 0.9690326, 0.91304237, 0.86177623, 0.85260487, 0.84412533, 0.8352267, 0.82759535, 0.81906414, 0.793723, 0.7825127, 0.78119564, 0.7765235, 0.7427671, 0.7412019, 0.7144906, 0.6913206, 0.6902954, 0.6730216, 0.64529055, 0.62007684, 0.61712784, 0.55997205, 0.5371931, 0.515596",10,2,6,5,2
"Albio_Sires","mc_images/Albio_Sires.jpg","Albio Sires",67,"Male","hispanic","Representative","Democrat","NJ","person, official, necktie, suit, elder, speaker, businessperson, senior_citizen, speech, public_speaking, spokesperson, military_officer","0.9234688878059387, 0.8937265872955322, 0.8602153062820435, 0.8211656808853149, 0.7543748021125793, 0.7481511831283569, 0.7355501651763916, 0.7350012063980103, 0.6628803610801697, 0.6273508667945862, 0.6249545812606812, 0.5503537654876709",2,0,6,2,2,"Smile, Tie, Dress_shirt, Flag_of_the_united_states, Gesture, Military_person, Collar, Flag, Blazer, Government_agency, Suit, Official, Military_officer, Event, Flag_Day_(USA), Non-commissioned_officer, Military_uniform, Wrinkle, Military_rank, Formal_wear, Happy, Uniform, Spokesperson, Caesar_cut, Colonel","0.975403, 0.8851685, 0.88217837, 0.8688918, 0.85260487, 0.8421646, 0.83344436, 0.8169788, 0.78257984, 0.7742036, 0.76720124, 0.7595466, 0.75593555, 0.7392256, 0.7010721, 0.6961344, 0.6725548, 0.67224985, 0.6611686, 0.6516647, 0.61050534, 0.60503113, 0.5824938, 0.544078, 0.528649",9,1,8,4,3
